Cruce_ID;Raza_materna;Raza_paterna;Tipo_esquema;Objetivo_principal;Rendimiento_canal_%;Marmoleo;Terneza;Crecimiento;Facilidad_parto;Rusticidad;Apto_pasto;Apto_altitud_frio;Notas
CR203;Angus;Rubia Gallega;F1 (calidad/sabor);Sabor/maduración + marmoleo;56-60;Alto;Alto;Medio-alto;Media;Alta;Alta;Alta;"Interesante para cortes gourmet y maduración; probar líneas."
CR204;Angus;Wagyu;F1 (ultra gourmet);Máximo marmoleo y terneza;55-60;Muy alto;Muy alto;Bajo-medio;Media;Media;Media;Media;Recomendado solo con plan claro de acabado y mercado premium.
CR205;Angus;Hereford;F1 (Black Baldy);Rusticidad + docilidad + buen rendimiento a pasto;55-59;Medio-alto;Medio;Medio;Alta;Alta;Muy alta;Alta;Muy buen esquema para vacas madre en pasto.
CR301;Hereford;Angus;F1 (Black Baldy);Madres F1 muy buenas + calidad a pasto;55-59;Alto;Medio-alto;Medio;Alta;Alta;Muy alta;Alta;"Retener hembras F1 para rotación; buena fertilidad."
CR302;Hereford;Limusina;Terminal;Mejorar conformación manteniendo adaptabilidad;57-61;Medio;Medio;Alto;Alta;Alta;Muy alta;Alta;Para terneros más magros y pesados.
CR303;Hereford;Charolesa;Terminal;Máximo peso canal;58-62;Medio;Medio;Muy alto;Media;Alta;Alta;Alta;Vigilar partos y tamaño al nacer.
CR401;Salers;Angus;F1;Rusticidad extrema + calidad (marmoleo);54-58;Alto;Alto;Medio;Alta;Muy alta;Muy alta;Muy alta;Gran opción para montaña y carne premium a pasto.
CR402;Aubrac;Angus;F1;Rusticidad + facilidad de parto + calidad;54-58;Alto;Alto;Medio;Alta;Muy alta;Muy alta;Muy alta;Muy buen cruce para entornos duros.
CR403;Galloway;Angus;F1;Altísima aptitud a pasto y clima duro + calidad;52-56;Alto;Alto;Medio;Alta;Muy alta;Muy alta;Muy alta;"Canal moderada; ideal para “grass-fed premium”."
CR404;Highland;Angus;F1;Máxima rusticidad + mejora de calidad;52-56;Medio-alto;Medio;Bajo-medio;Alta;Muy alta;Muy alta;Muy alta;"Crecimiento lento; nicho gourmet y turismo/branding."
CR405;Salers;Limusina;F1;Canal mejora manteniendo rusticidad;56-60;Medio;Medio;Alto;Alta;Muy alta;Muy alta;Muy alta;Buen equilibrio kilos/rusticidad.
CR406;Aubrac;Limusina;F1;Rendimiento y crecimiento con partos generalmente fáciles;56-60;Medio;Medio;Alto;Alta;Muy alta;Muy alta;Muy alta;Buena opción si priorizas canal sin perder pasto.
CR501;Pirenaica;Angus;F1;Montaña + calidad gourmet a pasto;54-58;Alto;Alto;Medio;Alta;Muy alta;Muy alta;Muy alta;Muy buen encaje altitud.
CR502;Pirenaica;Limusina;F1;Mejora canal y conformación manteniendo adaptación;56-60;Medio;Medio;Alto;Alta;Muy alta;Muy alta;Muy alta;Cruce productivo para carne magra.
CR503;Asturiana de la Montaña;Angus;F1;Madres rústicas + calidad;53-57;Alto;Alto;Medio;Alta;Muy alta;Muy alta;Muy alta;"Excelente para condiciones duras; canal media."
CR504;Asturiana de la Montaña;Limusina;F1;Canal arriba conservando rusticidad;55-59;Medio;Medio;Alto;Alta;Muy alta;Muy alta;Muy alta;Buena opción extensiva.
CR601;Rubia Gallega;Angus;F1;Sabor/maduración + marmoleo, perfil gourmet;56-60;Alto;Alto;Medio-alto;Media;Alta;Alta;Alta;"Muy interesante para venta premium; vigilar adaptación/estructura."
CR602;Rubia Gallega;Limusina;F1;Canal grande con buen sabor;58-62;Medio;Medio;Alto;Media;Media-alta;Media-alta;Media;"Para aumentar rendimiento; carne más magra."
CR901;(Avileña×Angus) F1;Limusina;3-vías terminal;Madres rústicas+calidad y terneros con canal alta;58-63;Medio-alto;Medio-alto;Alto;Alta;Muy alta;Muy alta;Muy alta;Gran esquema para Segovia: retener F1 y terminar con Lim.
CR902;(Avileña×Angus) F1;Charolesa;3-vías terminal;Máximo crecimiento con base de calidad;58-63;Medio;Medio;Muy alto;Media;Muy alta;Alta;Alta;"Vigilar partos; usar Charolais fácil parto."
CR903;(Avileña×Limusina) F1;Angus;3-vías (calidad);Subir marmoleo en cruce ya muy cárnico;57-62;Alto;Alto;Medio-alto;Alta;Alta;Alta;Alta;Interesante para canal y calidad equilibradas.
CR904;(Angus×Hereford) F1;Charolesa;3-vías terminal;Madres muy fuertes a pasto + terneros muy pesados;58-62;Medio;Medio;Muy alto;Media;Alta;Muy alta;Alta;"Muy productivo; requiere buen pasto o suplementación estratégica."
